Indicator,Value,Year,GDP
,Anhydrous ethanol,4126.1724,1970,289535.73
,Anhydrous ethanol,5695.9119,1971,322377.54
,Anhydrous ethanol,8768.11635,1972,360870.54
,Anhydrous ethanol,6929.27865,1973,411279.55
,Anhydrous ethanol,4260.7215,1974,444815.03
,Anhydrous ethanol,3632.8257,1975,467797.06
,Anhydrous ethanol,3857.0742,1976,515779.61
,Anhydrous ethanol,14329.47915,1977,541229.87
,Anhydrous ethanol,33726.9744,1978,568128.44
,Anhydrous ethanol,49760.74215,1979,606531.42
,Anhydrous ethanol,50523.18705,1980,662332.31
,Anhydrous ethanol,25698.8781,1981,634183.19
,Anhydrous ethanol,45320.62185,1982,639446.91
,Anhydrous ethanol,49267.39545,1983,620711.11
,Anhydrous ethanol,46688.5377,1984,654229.51
,Anhydrous ethanol,47563.10685,1985,705586.53
,Anhydrous ethanol,54761.4837,1986,758434.96
,Anhydrous ethanol,47899.4796,1987,785207.72
,Anhydrous ethanol,44087.2551,1988,784736.59
,Anhydrous ethanol,36373.1067,1989,809534.27
,Anhydrous ethanol,27313.4673,1990,774319.53
,Anhydrous ethanol,36933.72795,1991,782311.97
,Anhydrous ethanol,49917.7161,1992,778055.63
,Anhydrous ethanol,54492.3855,1993,816372.46
,Anhydrous ethanol,70100.0811,1994,864153.68
,Anhydrous ethanol,75616.5942,1995,900653.75
,Anhydrous ethanol,90910.3419,1996,924598.44
,Anhydrous ethanol,112438.1979,1997,954845.65
,Anhydrous ethanol,119681.4245,1998,956105.25
,Anhydrous ethanol,134593.9497,1999,963868.54
,Anhydrous ethanol,127933.7693,2000,1005914.8
,Anhydrous ethanol,134728.4988,2001,1315755.47
,Anhydrous ethanol,162611.9712,2002,1488787.26
,Anhydrous ethanol,162759.996,2003,1717950.4
,Anhydrous ethanol,167111.028,2004,1957751.21
,Anhydrous ethanol,171297.8646,2005,2170584.5
,Anhydrous ethanol,116627.4391,2006,2409449.94
,Anhydrous ethanol,139659.6046,2007,2720262.93
,Anhydrous ethanol,148381.4052,2008,3109803.1
,Anhydrous ethanol,142468.7662,2009,3333039.35
,Anhydrous ethanol,159170.7086,2010,3885847
,Anhydrous ethanol,189188.5232,2011,4376382
,Anhydrous ethanol,174028.8325,2012,4814760
,Anhydrous ethanol,217238.4147,2013,5331619
,Anhydrous ethanol,247060.6579,2014,5778953
,Anhydrous ethanol,245363.576,2015,6000570.46
,Anhydrous ethanol,248956.8556,2016,6266894.74
,Anhydrous ethanol,270741.0799,2017,6585479
,Anhydrous ethanol,229085.9503,2018,7004141
,Anhydrous ethanol,236696.6118,2019,7300000
,Biodiesel,0,1970,289535.73
,Biodiesel,0,1971,322377.54
,Biodiesel,0,1972,360870.54
,Biodiesel,0,1973,411279.55
,Biodiesel,0,1974,444815.03
,Biodiesel,0,1975,467797.06
,Biodiesel,0,1976,515779.61
,Biodiesel,0,1977,541229.87
,Biodiesel,0,1978,568128.44
,Biodiesel,0,1979,606531.42
,Biodiesel,0,1980,662332.31
,Biodiesel,0,1981,634183.19
,Biodiesel,0,1982,639446.91
,Biodiesel,0,1983,620711.11
,Biodiesel,0,1984,654229.51
,Biodiesel,0,1985,705586.53
,Biodiesel,0,1986,758434.96
,Biodiesel,0,1987,785207.72
,Biodiesel,0,1988,784736.59
,Biodiesel,0,1989,809534.27
,Biodiesel,0,1990,774319.53
,Biodiesel,0,1991,782311.97
,Biodiesel,0,1992,778055.63
,Biodiesel,0,1993,816372.46
,Biodiesel,0,1994,864153.68
,Biodiesel,0,1995,900653.75
,Biodiesel,0,1996,924598.44
,Biodiesel,0,1997,954845.65
,Biodiesel,0,1998,956105.25
,Biodiesel,0,1999,963868.54
,Biodiesel,0,2000,1005914.8
,Biodiesel,0,2001,1315755.47
,Biodiesel,0,2002,1488787.26
,Biodiesel,0,2003,1717950.4
,Biodiesel,0,2004,1957751.21
,Biodiesel,18.12447672,2005,2170584.5
,Biodiesel,1776.996305,2006,2409449.94
,Biodiesel,10392.5026,2007,2720262.93
,Biodiesel,29245.56453,2008,3109803.1
,Biodiesel,41469.40788,2009,3333039.35
,Biodiesel,60912.81428,2010,3885847
,Biodiesel,66075.33614,2011,4376382
,Biodiesel,71221.36825,2012,4814760
,Biodiesel,75379.06858,2013,5331619
,Biodiesel,87379.3573,2014,5778953
,Biodiesel,102237.4665,2015,6000570.46
,Biodiesel,101159.5205,2016,6266894.74
,Biodiesel,112508.3014,2017,6585479
,Biodiesel,141499.7028,2018,7004141
,Biodiesel,155132.2478,2019,7300000
,Diesel oil,163546.1425,1970,289535.73
,Diesel oil,179317.435,1971,322377.54
,Diesel oil,204270.6443,1972,360870.54
,Diesel oil,242330.5899,1973,411279.55
,Diesel oil,264799.2805,1974,444815.03
,Diesel oil,304479.5643,1975,467797.06
,Diesel oil,358454.8324,1976,515779.61
,Diesel oil,391257.6804,1977,541229.87
,Diesel oil,433674.5356,1978,568128.44
,Diesel oil,457871.5869,1979,606531.42
,Diesel oil,478853.0006,1980,662332.31
,Diesel oil,473742.9274,1981,634183.19
,Diesel oil,483610.7182,1982,639446.91
,Diesel oil,463038.2505,1983,620711.11
,Diesel oil,482408.3859,1984,654229.51
,Diesel oil,497533.0202,1985,705586.53
,Diesel oil,585832.4165,1986,758434.96
,Diesel oil,616921.1454,1987,785207.72
,Diesel oil,629211.0649,1988,784736.59
,Diesel oil,666464.2967,1989,809534.27
,Diesel oil,671278.5685,1990,774319.53
,Diesel oil,696636.6351,1991,782311.97
,Diesel oil,709033.4761,1992,778055.63
,Diesel oil,727647.0218,1993,816372.46
,Diesel oil,760449.2822,1994,864153.68
,Diesel oil,809744.095,1995,900653.75
,Diesel oil,846934.6179,1996,924598.44
,Diesel oil,899740.0406,1997,954845.65
,Diesel oil,943024.5943,1998,956105.25
,Diesel oil,953579.8163,1999,963868.54
,Diesel oil,983205.725,2000,1005914.8
,Diesel oil,1010973.802,2001,1315755.47
,Diesel oil,1053129.504,2002,1488787.26
,Diesel oil,1018581.984,2003,1717950.4
,Diesel oil,1089422.208,2004,1957751.21
,Diesel oil,1083731.162,2005,2170584.5
,Diesel oil,1098580.471,2006,2409449.94
,Diesel oil,1154014.498,2007,2720262.93
,Diesel oil,1214427.399,2008,3109803.1
,Diesel oil,1188881.836,2009,3333039.35
,Diesel oil,1305610.877,2010,3885847
,Diesel oil,1381952.222,2011,4376382
,Diesel oil,1463133.629,2012,4814760
,Diesel oil,1560537.292,2013,5331619
,Diesel oil,1572193.551,2014,5778953
,Diesel oil,1487919.825,2015,6000570.46
,Diesel oil,1439005.127,2016,6266894.74
,Diesel oil,1429304.144,2017,6585479
,Diesel oil,1409850.168,2018,7004141
,Diesel oil,1440508.093,2019,7300000
,Petrol,309496.9958,1970,289535.73
,Petrol,336867.6995,1971,322377.54
,Petrol,377501.1671,1972,360870.54
,Petrol,442742.2625,1973,411279.55
,Petrol,459385.731,1974,444815.03
,Petrol,469950.4324,1975,467797.06
,Petrol,473282.5541,1976,515779.61
,Petrol,430125.1504,1977,541229.87
,Petrol,439006.2256,1978,568128.44
,Petrol,436661.048,1979,606531.42
,Petrol,369088.5519,1980,662332.31
,Petrol,353330.4405,1981,634183.19
,Petrol,336567.9819,1982,639446.91
,Petrol,287589.0364,1983,620711.11
,Petrol,257898.4389,1984,654229.51
,Petrol,253789.6287,1985,705586.53
,Petrol,285943.4959,1986,758434.96
,Petrol,249111.6067,1987,785207.72
,Petrol,243969.3588,1988,784736.59
,Petrol,274150.2931,1989,809534.27
,Petrol,312327.4031,1990,774319.53
,Petrol,338462.0668,1991,782311.97
,Petrol,336975.2654,1992,778055.63
,Petrol,354321.2812,1993,816372.46
,Petrol,387856.9115,1994,864153.68
,Petrol,464410.661,1995,900653.75
,Petrol,543739.7729,1996,924598.44
,Petrol,594555.339,1997,954845.65
,Petrol,620441.0268,1998,956105.25
,Petrol,578339.748,1999,963868.54
,Petrol,556975.5114,2000,1005914.8
,Petrol,545777.232,2001,1315755.47
,Petrol,522161.64,2002,1488787.26
,Petrol,550814.88,2003,1717950.4
,Petrol,569539.74,2004,1957751.21
,Petrol,571006.2935,2005,2170584.5
,Petrol,606472.02,2006,2409449.94
,Petrol,600036.36,2007,2720262.93
,Petrol,610614.774,2008,3109803.1
,Petrol,616303.38,2009,3333039.35
,Petrol,736045.1679,2010,3885847
,Petrol,875187.747,2011,4376382
,Petrol,1027059.275,2012,4814760
,Petrol,1024506.132,2013,5331619
,Petrol,1078637.338,2014,5778953
,Petrol,976788.818,2015,6000570.46
,Petrol,1015603.089,2016,6266894.74
,Petrol,1042290.981,2017,6585479
,Petrol,905416.475,2018,7004141
,Petrol,901007.8211,2019,7300000
,Hydrated ethanol,0,1970,289535.73
,Hydrated ethanol,0,1971,322377.54
,Hydrated ethanol,0,1972,360870.54
,Hydrated ethanol,0,1973,411279.55
,Hydrated ethanol,0,1974,444815.03
,Hydrated ethanol,0,1975,467797.06
,Hydrated ethanol,0,1976,515779.61
,Hydrated ethanol,0,1977,541229.87
,Hydrated ethanol,42.81228,1978,568128.44
,Hydrated ethanol,342.49824,1979,606531.42
,Hydrated ethanol,9183.23406,1980,662332.31
,Hydrated ethanol,29797.34688,1981,634183.19
,Hydrated ethanol,35833.87836,1982,639446.91
,Hydrated ethanol,63148.113,1983,620711.11
,Hydrated ethanol,97933.0905,1984,654229.51
,Hydrated ethanol,130320.5803,1985,705586.53
,Hydrated ethanol,179747.3576,1986,758434.96
,Hydrated ethanol,190921.3627,1987,785207.72
,Hydrated ethanol,208923.9264,1988,784736.59
,Hydrated ethanol,236923.1575,1989,809534.27
,Hydrated ethanol,218599.5017,1990,774319.53
,Hydrated ethanol,219434.3411,1991,782311.97
,Hydrated ethanol,200939.4362,1992,778055.63
,Hydrated ethanol,207104.4045,1993,816372.46
,Hydrated ethanol,208923.9264,1994,864153.68
,Hydrated ethanol,212905.4684,1995,900653.75
,Hydrated ethanol,209459.0799,1996,924598.44
,Hydrated ethanol,177777.9927,1997,954845.65
,Hydrated ethanol,165191.1824,1998,956105.25
,Hydrated ethanol,150934.6931,1999,963868.54
,Hydrated ethanol,116513.62,2000,1005914.8
,Hydrated ethanol,91125.93798,2001,1315755.47
,Hydrated ethanol,93035.628,2002,1488787.26
,Hydrated ethanol,80584.182,2003,1717950.4
,Hydrated ethanol,103565.7,2004,1957751.21
,Hydrated ethanol,121157.9674,2005,2170584.5
,Hydrated ethanol,151967.3173,2006,2409449.94
,Hydrated ethanol,222039.6986,2007,2720262.93
,Hydrated ethanol,314160.714,2008,3109803.1
,Hydrated ethanol,352807.7099,2009,3333039.35
,Hydrated ethanol,346211.46,2010,3885847
,Hydrated ethanol,261672.9532,2011,4376382
,Hydrated ethanol,242030.6204,2012,4814760
,Hydrated ethanol,282101.4,2013,5331619
,Hydrated ethanol,299288.1226,2014,5778953
,Hydrated ethanol,402454.5109,2015,6000570.46
,Hydrated ethanol,334023.1587,2016,6266894.74
,Hydrated ethanol,310895.5592,2017,6585479
,Hydrated ethanol,431050.8653,2018,7004141
,Hydrated ethanol,497948.0197,2019,7300000
,Natural gas,0,1970,289535.73
,Natural gas,0,1971,322377.54
,Natural gas,0,1972,360870.54
,Natural gas,0,1973,411279.55
,Natural gas,0,1974,444815.03
,Natural gas,0,1975,467797.06
,Natural gas,0,1976,515779.61
,Natural gas,0,1977,541229.87
,Natural gas,0,1978,568128.44
,Natural gas,0,1979,606531.42
,Natural gas,0,1980,662332.31
,Natural gas,0,1981,634183.19
,Natural gas,0,1982,639446.91
,Natural gas,0,1983,620711.11
,Natural gas,0,1984,654229.51
,Natural gas,0,1985,705586.53
,Natural gas,0,1986,758434.96
,Natural gas,0,1987,785207.72
,Natural gas,115.5797496,1988,784736.59
,Natural gas,78.6345336,1989,809534.27
,Natural gas,73.890432,1990,774319.53
,Natural gas,73.890432,1991,782311.97
,Natural gas,0,1992,778055.63
,Natural gas,923.6304,1993,816372.46
,Natural gas,1699.479936,1994,864153.68
,Natural gas,1810.315584,1995,900653.75
,Natural gas,1330.027776,1996,924598.44
,Natural gas,1736.425152,1997,954845.65
,Natural gas,4876.768512,1998,956105.25
,Natural gas,5874.289344,1999,963868.54
,Natural gas,11563.85261,2000,1005914.8
,Natural gas,21132.66355,2001,1315755.47
,Natural gas,36220.8,2002,1488787.26
,Natural gas,49082.88,2003,1717950.4
,Natural gas,58396.8,2004,1957751.21
,Natural gas,71873.83484,2005,2170584.5
,Natural gas,85251.936,2006,2409449.94
,Natural gas,94580.64,2007,2720262.93
,Natural gas,90649.69973,2008,3109803.1
,Natural gas,77839.608,2009,3333039.35
,Natural gas,74200.75387,2010,3885847
,Natural gas,72885.12,2011,4376382
,Natural gas,71768.928,2012,4814760
,Natural gas,69189.12,2013,5331619
,Natural gas,66953.04,2014,5778953
,Natural gas,65215.68808,2015,6000570.46
,Natural gas,66912.384,2016,6266894.74
,Natural gas,72848.16,2017,6585479
,Natural gas,81745.36944,2018,7004141
,Natural gas,84438.4464,2019,7300000
